time,const,10Y US,EX US Bond,SPX Index,Commodity Index,Tbill Index,R_sq
2016-12-13 00:00:00,-0.015327934031697327,0.2035875337762743,0.13890026104330894,0.26820827940443437,-0.004143942020126797,-7.8040563209048655,0.29094179042191104
2016-12-14 00:00:00,-0.013495025682975285,0.222521676775693,0.030793672037995684,0.26257799020291156,-0.001980909209549273,-6.714234996959219,0.2495884890064336
2016-12-15 00:00:00,-0.014169080027052227,0.22671254499877302,-0.01973670976158573,0.2704118675381495,0.0002831339180173493,-7.017136153920124,0.23757650995221435
2016-12-16 00:00:00,-0.021253406637961412,0.18866773715523116,-0.40962390754149514,0.3308673161450542,-0.002725935704774033,-10.427490168209072,0.26364129393555447
2016-12-19 00:00:00,-0.028700674021736882,0.15263283629738378,-0.5293488684720322,0.37725085685635223,0.008409715548175845,-14.059444935763349,0.2977495247812214
2016-12-20 00:00:00,-0.03162432078107906,0.13074310843388764,-0.4625802276283533,0.2199672307586536,0.005877522354476987,-15.551252177566848,0.26002182141601005
2016-12-21 00:00:00,-0.03357294632604559,0.13774115206237236,-0.4554418502766303,0.21061746262101175,0.007679586138703386,-16.53641955592085,0.28115098236012115
2016-12-22 00:00:00,-0.021125752604664497,-0.5422392911350357,0.34801622170527047,0.3842763243388895,-0.024197777765289096,-9.870517593343008,0.385982319444365
2016-12-23 00:00:00,-0.02261073144522039,-0.466374210560898,-0.3948854800482527,0.4163591486100828,-0.022539304697705265,-10.129580668583989,0.44321237402891955
2016-12-26 00:00:00,-0.019245759078996047,-0.5057186604183248,-0.8907275782574707,0.3996874436531002,-0.05121035584506049,-7.998568244172613,0.5459735043463593
2016-12-27 00:00:00,-0.019326327798733865,-0.5250575762747398,-0.9235090462712277,0.40261141880101387,-0.05269662826018632,-7.982688674412559,0.5324771387470313
2016-12-28 00:00:00,-0.019231408100106002,-0.5546020684939075,-0.788665279165538,0.4259079003063856,-0.043541227275348364,-8.060119836533534,0.5420063202205121
2016-12-29 00:00:00,-0.020108907367981137,-0.3804524679494814,-0.9777390444712575,0.32757387228177665,-0.04247118776469147,-8.647031240013733,0.4706134407712089
2016-12-30 00:00:00,-0.028705098733567275,-0.29102688232058593,-1.28818956806647,0.31818824398308876,-0.02934914449501662,-12.844369205732221,0.5276975847997336
2017-01-02 00:00:00,-0.03517013433738611,-0.2535036873623722,-1.1041629003057776,0.3692839947102763,-0.014914605525735463,-16.289388508147486,0.5567938089324493
2017-01-03 00:00:00,-0.032372606502691866,-0.28741228626987925,-0.958703484904495,0.38518310073626527,-0.010710714395647785,-14.994044167775225,0.5447277524727736
2017-01-04 00:00:00,-0.033498683186217904,-0.3064880331432123,-0.915145751513714,0.35060715031168194,-0.0047607812127425635,-15.456118861295046,0.5781950313135975
2017-01-05 00:00:00,-0.029530123048399585,-0.36379207194314617,-0.7010694560641733,0.33985866736325454,-0.0127709300085839,-13.47897334522069,0.5649861002138568
2017-01-06 00:00:00,-0.01926503543334636,-0.6869985682309091,-0.15388367869799735,0.36952241018773674,-0.026442112175918138,-8.281813557817578,0.5659450706333209
2017-01-09 00:00:00,-0.01990922430171603,-0.6495023439959903,-0.1463766415085388,0.36387471194238913,-0.0200382621257037,-8.6066720144428,0.559558840072925
2017-01-10 00:00:00,-0.0247042679952891,-0.6872315813680882,-0.31736101804379846,0.3770407477797412,-0.03704794918471875,-10.815904101515095,0.5978117295374858
2017-01-11 00:00:00,-0.02102802541871138,-0.7402352523389716,-0.21890778379782153,0.3726855736324042,-0.06389966557586552,-9.059939999399894,0.6142904279012367
2017-01-12 00:00:00,-0.02297188076816847,-0.7014693179318519,-0.18015532176231983,0.38908655066094006,-0.05949551568094048,-10.175380558626012,0.6001746369503136
2017-01-13 00:00:00,-0.013429785317137264,-0.8681885355655943,-0.2386381051059974,0.3612645430271958,-0.046180294456190873,-5.138587148367786,0.6233677833408269
2017-01-16 00:00:00,-0.012535356179187225,-0.8673604015073879,-0.20710413280124937,0.36210445875884156,-0.04488968459852959,-4.721491318669428,0.603023648085039
2017-01-17 00:00:00,-0.008111691785933704,-0.8845975826582387,-0.20600456993970692,0.377396856054818,-0.03551905701617708,-2.4755362649412582,0.601590308016529
2017-01-18 00:00:00,-0.0012925433770605461,-0.9964155325747436,-0.1509622627516707,0.3850152701155741,-0.02414190227038211,1.0971450043815967,0.6318765627041023
2017-01-19 00:00:00,0.0017951916293665292,-0.9268398958576971,0.005116453330206133,0.4105140380383235,-0.0044629100744401524,2.457226088620377,0.608414565235442
2017-01-20 00:00:00,-0.00040647379706063415,-0.8229780232350289,0.1938268787895196,0.4464921535985595,-0.026500900638601013,1.1582785660101886,0.6058583740657562
2017-01-23 00:00:00,-0.0010832039396004595,-0.8092855380114466,0.20837361174014613,0.42948842306417423,-0.036040776279247434,0.8517216091853581,0.5660993808998627
2017-01-24 00:00:00,-0.00023903481436385841,-0.8101311984475512,0.13199506326859758,0.4137065132821431,-0.02425739830099911,1.3200333133252604,0.5858416224539584
2017-01-25 00:00:00,-0.0004944923545116922,-0.8349447659959046,0.2530167696062594,0.4433824924170289,-0.0250271551711069,1.043751106765683,0.6269861365662026
2017-01-26 00:00:00,-0.004466986468087424,-0.9906069329721414,0.7206838843835586,0.3584464911037184,-0.049404422403985015,-1.2269587900280983,0.6501630262531117
2017-01-27 00:00:00,-0.006900097369047511,-0.7919948623131124,0.3820559693233541,0.3338036883916656,-0.016634303157266793,-2.2463621337481756,0.615051273490982
